tag,round_name,u0,xl,dvtshift,delta_wgaa,delta_tgaa,eot_0,loss,log_rmse_all,log_rmse_low,log_rmse_mid,rel_rmse_high,lin_rmse,max_rel_err_high,status
fit_c013,coarse,0.025,1.2e-08,0.04,0.0,0.0,8.500000000000001e-10,0.5273741859910495,0.4085924414159119,0.6779458865674608,0.28811297167208283,0.4751269783005503,3.2465533454382134e-06,0.5372052931201756,ok
fit_c076,coarse,0.03,1.2e-08,0.0,0.0,0.0,1.05e-09,0.5501526290301514,0.344521170122478,0.3814128499292965,0.3552763520600634,0.8225258356306936,6.2738991255901095e-06,0.9729955315581285,ok
fit_c061,coarse,0.01,1.2e-08,0.04,0.0,0.0,1.05e-09,0.5699260109218476,0.459883156394654,0.6863227973254915,0.3832722006825865,0.4401714181087746,2.9979424078270886e-06,0.4727587526553676,ok
fit_c005,coarse,0.015,1.2e-08,0.04,0.0,0.0,8.500000000000001e-10,0.5713147065923375,0.5415437182975963,0.899289467533804,0.40455134285468913,0.1190839531789651,9.328870474671127e-07,0.16380880287618188,ok
fit_c017,coarse,0.03,1.2e-08,0.04,0.0,0.0,8.500000000000001e-10,0.5738859186392173,0.38160140174438156,0.5990090158279661,0.2791891280291335,0.7691380675793429,5.24756874708729e-06,0.8446463517442107,ok
fit_l098,local,0.012,1.6e-08,0.0,0.0,-1e-09,9.024999999999999e-10,0.6077994832506979,0.5098600790052719,0.8156331960941147,0.39000163440358243,0.3917576169817041,2.664656086082271e-06,0.43038997760047065,ok
fit_c074,coarse,0.025,1.2e-08,0.08,0.0,0.0,1.05e-09,0.608267567746303,0.5402029241987595,0.8843099026510265,0.41292523127255737,0.272258574190174,1.7987225884081098e-06,0.29132279322025856,ok
fit_c070,coarse,0.02,1.2e-08,0.08,0.0,0.0,1.05e-09,0.609777725352021,0.6039580566456426,0.9810157412998814,0.4750012192579225,0.02327867482551352,5.920981234131129e-07,0.033429304344373564,ok
fit_l126,local,0.015,2e-08,-0.02,0.0,-1e-09,9.024999999999999e-10,0.6130915115942295,0.531364493765364,0.8792800225203277,0.3867739997447601,0.32690807131546173,2.2310422994511837e-06,0.36848156560255463,ok
fit_c078,coarse,0.03,1.2e-08,0.08,0.0,0.0,1.05e-09,0.6275827347740789,0.49612726784902156,0.805390238915279,0.37330793605600926,0.5258218677002293,3.456320389114054e-06,0.5487868332571102,ok
fit_l124,local,0.015,2e-08,-0.02,0.0,0.0,9.024999999999999e-10,0.6552452996846297,0.577764947879179,0.9603378000870231,0.4201785700584336,0.30992140722180306,2.135516794392292e-06,0.35065246926734184,ok
fit_l096,local,0.012,1.6e-08,0.0,0.0,0.0,9.024999999999999e-10,0.6607249987158499,0.5663118574241307,0.915272673126025,0.4307993424525302,0.3776525651668765,2.589655890756856e-06,0.4151266921769675,ok
fit_c041,coarse,0.01,1.2e-08,0.04,0.0,0.0,9.5e-10,0.6743657768068134,0.5677392209047913,0.8798688372299981,0.4609215805921607,0.4265062236080884,2.936671803292367e-06,0.4584823175825219,ok
fit_l090,local,0.012,2e-08,-0.02,0.0,-1e-09,9.024999999999999e-10,0.7278083844753428,0.6125204941417954,0.9760128286913625,0.47032313386354047,0.46115156133418933,3.155104993145474e-06,0.49473262046334204,ok
fit_c021,coarse,0.01,1.2e-08,0.04,0.0,0.0,9.000000000000001e-10,0.7284691284047072,0.6237251241958269,0.9773289840818191,0.5024110487823251,0.4189760168355214,2.9032932813721663e-06,0.450719094824016,ok
fit_c054,coarse,0.025,1.2e-08,0.08,0.0,0.0,9.5e-10,0.7393798047420912,0.6645990637956921,1.086084310772222,0.5112962677088246,0.29912296378559633,1.9628732110046686e-06,0.3135115115287552,ok
fit_c050,coarse,0.02,1.2e-08,0.08,0.0,0.0,9.5e-10,0.7397377274888424,0.7294254002310511,1.1827843600455474,0.575603500863555,0.04124930903116536,7.303487577321216e-07,0.0515269750762985,ok
fit_c066,coarse,0.015,1.2e-08,0.08,0.0,0.0,1.05e-09,0.756678430321335,0.6974536684984364,1.1056990235552913,0.569487752069987,0.23689904729159422,1.8192894833644397e-06,0.2598622370068486,ok
fit_c058,coarse,0.03,1.2e-08,0.08,0.0,0.0,9.5e-10,0.7574416384816323,0.6178787244950454,1.0071900800240987,0.4670684211588185,0.5582516559463471,3.6267153709840113e-06,0.5756610914554,ok
fit_l088,local,0.012,2e-08,-0.02,0.0,0.0,9.024999999999999e-10,0.7694530403797673,0.6575664221238705,1.0570583516247214,0.5023084310164952,0.4475464730235868,3.077676919058114e-06,0.4804561853904963,ok
fit_c001,coarse,0.01,1.2e-08,0.04,0.0,0.0,8.500000000000001e-10,0.7835515090813452,0.6808270800935321,1.0751648290944191,0.5455165800888376,0.4108977159512523,2.8676249535397303e-06,0.4424295518784927,ok
fit_c030,coarse,0.02,1.2e-08,0.08,0.0,0.0,9.000000000000001e-10,0.8062467154771383,0.7931139450152366,1.284164498327657,0.6276586020084731,0.05253108184760701,8.077764419211503e-07,0.062311750192918534,ok
fit_c034,coarse,0.025,1.2e-08,0.08,0.0,0.0,9.000000000000001e-10,0.8063398776013884,0.7278296869815577,1.1874749249100625,0.562387230760848,0.31404076247932244,2.056599885176202e-06,0.3272382291862465,ok
fit_l110,local,0.012,1.6e-08,0.02,0.0,-1e-09,9.024999999999999e-10,0.8114956211353082,0.7070911978563079,1.1245444511934206,0.559765289712314,0.41761769311600105,2.9197181996753155e-06,0.44710064353827167,ok
fit_c038,coarse,0.03,1.2e-08,0.08,0.0,0.0,9.000000000000001e-10,0.8241398842783225,0.6801004186211439,1.1085345887128442,0.5164487570895566,0.5761578626287147,3.7253297929504457e-06,0.5921647081795745,ok
fit_l108,local,0.012,1.6e-08,0.02,0.0,0.0,9.024999999999999e-10,0.8683156299932684,0.7670983132342789,1.2259546741471885,0.6061606562898452,0.404869267035958,2.8583512967588767e-06,0.4326926284186716,ok
fit_c010,coarse,0.02,1.2e-08,0.08,0.0,0.0,8.500000000000001e-10,0.8736497295618291,0.8573725792896413,1.3857652235249105,0.680823394489285,0.06510860108875104,8.90949047550183e-07,0.07488759554462877,ok
fit_c014,coarse,0.025,1.2e-08,0.08,0.0,0.0,8.500000000000001e-10,0.8742337632801565,0.7916870601488917,1.2890891692946476,0.6147062922499413,0.330186812525059,2.158854037348634e-06,0.34255733351110657,ok
fit_c046,coarse,0.015,1.2e-08,0.08,0.0,0.0,9.5e-10,0.8774498904189609,0.8223255092633968,1.3074397502511994,0.6701666512984401,0.22049752462225683,1.7924077036206277e-06,0.24012522999369798,ok
fit_c018,coarse,0.03,1.2e-08,0.08,0.0,0.0,8.500000000000001e-10,0.8920445370485106,0.7430977264327914,1.2101373381025677,0.5672693354627545,0.5957872424628772,3.835352767099125e-06,0.6110688002133278,ok
fit_l119,local,0.015,1.2e-08,-0.02,-2e-09,-1e-09,9.024999999999999e-10,0.9230477669963969,0.8644361986532089,1.4345653206376812,0.6449895188965692,0.23444627337275223,1.7660491106214918e-06,0.269730740513424,ok
fit_l102,local,0.012,2e-08,0.0,0.0,-1e-09,9.024999999999999e-10,0.9348863025111808,0.8137722852406559,1.2905496581432663,0.6447089371052227,0.4844560690820994,3.3843595063806397e-06,0.5097327457933366,ok
fit_c026,coarse,0.015,1.2e-08,0.08,0.0,0.0,9.000000000000001e-10,0.9386927200050487,0.8858275619137456,1.4088576189588917,0.722302536121952,0.2114606323652124,1.7790764985517476e-06,0.22959882625335093,ok
fit_l117,local,0.015,1.2e-08,-0.02,-2e-09,0.0,9.024999999999999e-10,0.9627849383474004,0.9093793777659842,1.5068242176809066,0.6821326511770189,0.21362224232566465,1.6663133153364275e-06,0.24802003279895818,ok
fit_c062,coarse,0.01,1.2e-08,0.08,0.0,0.0,1.05e-09,0.9659350697228644,0.8431693983725019,1.2815473062239622,0.7185968033991718,0.4910626854014496,3.4823544412839196e-06,0.506377454601101,ok
fit_c075,coarse,0.025,1.2e-08,0.12,0.0,0.0,1.05e-09,0.9711091812162432,0.9384374897129499,1.480674114037914,0.7783504477839456,0.13068676601317325,1.2366676893653932e-06,0.14406204470092987,ok
