sweep_v,bl_v,q_v,qb_v
0.314,0.314,0.6351,0.1689
0.313,0.313,0.6343,0.1691
0.312,0.312,0.6336,0.1693
0.311,0.311,0.6328,0.1695
0.31,0.31,0.6319,0.1697
0.309,0.309,0.6311,0.1699
0.308,0.308,0.6303,0.1702
0.307,0.307,0.6295,0.1704
0.306,0.306,0.6286,0.1706
0.305,0.305,0.6278,0.1708
0.304,0.304,0.6269,0.171
0.303,0.303,0.626,0.1713
0.302,0.302,0.6251,0.1715
0.301,0.301,0.6242,0.1717
0.3,0.3,0.6233,0.172
0.299,0.299,0.6224,0.1722
0.298,0.298,0.6215,0.1725
0.297,0.297,0.6205,0.1728
0.296,0.296,0.6196,0.173
0.295,0.295,0.6186,0.1733
0.294,0.294,0.6176,0.1736
0.293,0.293,0.6166,0.1739
0.292,0.292,0.6156,0.1741
0.291,0.291,0.6146,0.1744
0.29,0.29,0.6136,0.1747
0.289,0.289,0.6125,0.175
0.288,0.288,0.6115,0.1754
0.287,0.287,0.6104,0.1757
0.286,0.286,0.6093,0.176
0.285,0.285,0.6082,0.1763
0.284,0.284,0.607,0.1767
0.283,0.283,0.6059,0.177
0.282,0.282,0.6047,0.1774
0.281,0.281,0.6035,0.1778
0.28,0.28,0.6023,0.1782
0.279,0.279,0.6011,0.1786
0.278,0.278,0.5998,0.179
0.277,0.277,0.5985,0.1794
0.276,0.276,0.5972,0.1798
0.275,0.275,0.5959,0.1802
0.274,0.274,0.5945,0.1807
0.273,0.273,0.5931,0.1812
0.272,0.272,0.5917,0.1817
0.271,0.271,0.5902,0.1822
0.27,0.27,0.5887,0.1827
0.269,0.269,0.5872,0.1832
0.268,0.268,0.5856,0.1838
0.267,0.267,0.584,0.1844
0.266,0.266,0.5823,0.185
0.265,0.265,0.5805,0.1857
0.264,0.264,0.5787,0.1863
0.263,0.263,0.5769,0.1871
0.262,0.262,0.5749,0.1878
0.261,0.261,0.5729,0.1886
0.26,0.26,0.5708,0.1895
0.259,0.259,0.5685,0.1904
0.258,0.258,0.5662,0.1914
0.257,0.257,0.5636,0.1924
0.256,0.256,0.5609,0.1936
0.255,0.255,0.5579,0.195
0.254,0.254,0.5546,0.1965
0.253,0.253,0.5507,0.1983
0.252,0.252,0.5461,0.2005
0.251,0.251,0.5397,0.2037
0.25,0.25,0.1094,0.6999
0.249,0.249,0.1091,0.6999
0.248,0.248,0.1088,0.6999
0.247,0.247,0.1084,0.6999
0.246,0.246,0.1081,0.6999
0.245,0.245,0.1078,0.6999
0.244,0.244,0.1075,0.6999
0.243,0.243,0.1071,0.6999
0.242,0.242,0.1068,0.6999
0.241,0.241,0.1065,0.6999
0.24,0.24,0.1061,0.6999
0.239,0.239,0.1058,0.6999
0.238,0.238,0.1054,0.6999
0.237,0.237,0.1051,0.6999
0.236,0.236,0.1048,0.6999
0.235,0.235,0.1044,0.6999
0.234,0.234,0.1041,0.6999
0.233,0.233,0.1037,0.6999
0.232,0.232,0.1034,0.6999
0.231,0.231,0.103,0.6999
0.23,0.23,0.1027,0.6999
0.229,0.229,0.1023,0.6999
0.228,0.228,0.102,0.6999
0.227,0.227,0.1016,0.6999
0.226,0.226,0.1012,0.6999
0.225,0.225,0.1009,0.6999
0.224,0.224,0.1005,0.6999
0.223,0.223,0.1002,0.6999
0.222,0.222,0.09981,0.6999
0.221,0.221,0.09945,0.6999
0.22,0.22,0.09908,0.6999
0.219,0.219,0.09872,0.6999
0.218,0.218,0.09835,0.6999
0.217,0.217,0.09798,0.6999
0.216,0.216,0.09762,0.6999
0.215,0.215,0.09725,0.6999
0.214,0.214,0.09687,0.6999
0.213,0.213,0.0965,0.6999
0.212,0.212,0.09613,0.6999
0.211,0.211,0.09575,0.6999
0.21,0.21,0.09538,0.6999
0.209,0.209,0.095,0.6999
0.208,0.208,0.09462,0.6999
0.207,0.207,0.09424,0.6999
0.206,0.206,0.09386,0.6999
0.205,0.205,0.09348,0.6999
0.204,0.204,0.0931,0.6999
0.203,0.203,0.09272,0.6999
0.202,0.202,0.09233,0.6999
0.201,0.201,0.09194,0.6999
0.2,0.2,0.09156,0.6999
0.199,0.199,0.09117,0.6999
0.198,0.198,0.09078,0.6999
0.197,0.197,0.09039,0.6999
0.196,0.196,0.09,0.6999
0.195,0.195,0.08961,0.6999
0.194,0.194,0.08921,0.6999
0.193,0.193,0.08882,0.6999
0.192,0.192,0.08842,0.6999
0.191,0.191,0.08803,0.6999
0.19,0.19,0.08763,0.6999
0.189,0.189,0.08723,0.6999
0.188,0.188,0.08683,0.6999
0.187,0.187,0.08643,0.6999
0.186,0.186,0.08603,0.6999
0.185,0.185,0.08563,0.6999
0.184,0.184,0.08522,0.6999
0.183,0.183,0.08482,0.6999
0.182,0.182,0.08441,0.6999
0.181,0.181,0.08401,0.6999
0.18,0.18,0.0836,0.6999
0.179,0.179,0.08319,0.6999
0.178,0.178,0.08278,0.6999
0.177,0.177,0.08237,0.6999
0.176,0.176,0.08196,0.6999
0.175,0.175,0.08155,0.7
0.174,0.174,0.08114,0.7
0.173,0.173,0.08072,0.7
0.172,0.172,0.08031,0.7
0.171,0.171,0.07989,0.7
0.17,0.17,0.07948,0.7
0.169,0.169,0.07906,0.7
0.168,0.168,0.07864,0.7
0.167,0.167,0.07822,0.7
0.166,0.166,0.0778,0.7
0.165,0.165,0.07738,0.7
0.164,0.164,0.07696,0.7
0.163,0.163,0.07654,0.7
0.162,0.162,0.07611,0.7
0.161,0.161,0.07569,0.7
0.16,0.16,0.07527,0.7
0.159,0.159,0.07484,0.7
0.158,0.158,0.07441,0.7
0.157,0.157,0.07399,0.7
0.156,0.156,0.07356,0.7
0.155,0.155,0.07313,0.7
0.154,0.154,0.0727,0.7
0.153,0.153,0.07227,0.7
0.152,0.152,0.07184,0.7
0.151,0.151,0.07141,0.7
0.15,0.15,0.07098,0.7
0.149,0.149,0.07054,0.7
0.148,0.148,0.07011,0.7
0.147,0.147,0.06967,0.7
0.146,0.146,0.06924,0.7
0.145,0.145,0.0688,0.7
0.144,0.144,0.06837,0.7
0.143,0.143,0.06793,0.7
0.142,0.142,0.06749,0.7
0.141,0.141,0.06705,0.7
0.14,0.14,0.06661,0.7
0.139,0.139,0.06617,0.7
0.138,0.138,0.06573,0.7
0.137,0.137,0.06529,0.7
0.136,0.136,0.06485,0.7
0.135,0.135,0.0644,0.7
0.134,0.134,0.06396,0.7
0.133,0.133,0.06351,0.7
0.132,0.132,0.06307,0.7
0.131,0.131,0.06262,0.7
0.13,0.13,0.06218,0.7
0.129,0.129,0.06173,0.7
0.128,0.128,0.06128,0.7
0.127,0.127,0.06083,0.7
0.126,0.126,0.06039,0.7
0.125,0.125,0.05994,0.7
0.124,0.124,0.05949,0.7
0.123,0.123,0.05904,0.7
0.122,0.122,0.05858,0.7
0.121,0.121,0.05813,0.7
0.12,0.12,0.05768,0.7
0.119,0.119,0.05723,0.7
0.118,0.118,0.05677,0.7
0.117,0.117,0.05632,0.7
0.116,0.116,0.05586,0.7
0.115,0.115,0.05541,0.7
0.114,0.114,0.05495,0.7
0.113,0.113,0.0545,0.7
0.112,0.112,0.05404,0.7
0.111,0.111,0.05358,0.7
0.11,0.11,0.05312,0.7
0.109,0.109,0.05266,0.7
0.108,0.108,0.0522,0.7
0.107,0.107,0.05174,0.7
0.106,0.106,0.05128,0.7
0.105,0.105,0.05082,0.7
0.104,0.104,0.05036,0.7
0.103,0.103,0.0499,0.7
0.102,0.102,0.04944,0.7
0.101,0.101,0.04897,0.7
0.1,0.1,0.04851,0.7
0.099,0.099,0.04805,0.7
0.098,0.098,0.04758,0.7
0.097,0.097,0.04712,0.7
0.096,0.096,0.04665,0.7
0.095,0.095,0.04618,0.7
0.094,0.094,0.04572,0.7
0.093,0.093,0.04525,0.7
0.092,0.092,0.04478,0.7
0.091,0.091,0.04431,0.7
0.09,0.09,0.04384,0.7
0.089,0.089,0.04338,0.7
0.088,0.088,0.04291,0.7
0.087,0.087,0.04244,0.7
0.086,0.086,0.04196,0.7
0.085,0.085,0.04149,0.7
0.084,0.084,0.04102,0.7
0.083,0.083,0.04055,0.7
0.082,0.082,0.04008,0.7
0.081,0.081,0.0396,0.7
0.08,0.08,0.03913,0.7
0.079,0.079,0.03866,0.7
0.078,0.078,0.03818,0.7
0.077,0.077,0.03771,0.7
0.076,0.076,0.03723,0.7
0.075,0.075,0.03676,0.7
0.074,0.074,0.03628,0.7
0.073,0.073,0.0358,0.7
0.072,0.072,0.03533,0.7
0.071,0.071,0.03485,0.7
0.07,0.07,0.03437,0.7
0.069,0.069,0.03389,0.7
0.068,0.068,0.03342,0.7
0.067,0.067,0.03294,0.7
0.066,0.066,0.03246,0.7
0.065,0.065,0.03198,0.7
0.064,0.064,0.0315,0.7
0.063,0.063,0.03102,0.7
0.062,0.062,0.03054,0.7
0.061,0.061,0.03005,0.7
0.06,0.06,0.02957,0.7
0.059,0.059,0.02909,0.7
0.058,0.058,0.02861,0.7
0.057,0.057,0.02812,0.7
0.056,0.056,0.02764,0.7
0.055,0.055,0.02716,0.7
0.054,0.054,0.02667,0.7
0.053,0.053,0.02619,0.7
0.052,0.052,0.0257,0.7
0.051,0.051,0.02522,0.7
0.05,0.05,0.02473,0.7
0.049,0.049,0.02424,0.7
0.048,0.048,0.02376,0.7
0.047,0.047,0.02327,0.7
0.046,0.046,0.02278,0.7
0.045,0.045,0.0223,0.7
0.044,0.044,0.02181,0.7
0.043,0.043,0.02132,0.7
0.042,0.042,0.02083,0.7
0.041,0.041,0.02034,0.7
0.04,0.04,0.01985,0.7
0.039,0.039,0.01936,0.7
0.038,0.038,0.01887,0.7
0.037,0.037,0.01838,0.7
0.036,0.036,0.01789,0.7
0.035,0.035,0.0174,0.7
0.034,0.034,0.01691,0.7
0.033,0.033,0.01642,0.7
0.032,0.032,0.01592,0.7
0.031,0.031,0.01543,0.7
0.03,0.03,0.01494,0.7
0.029,0.029,0.01444,0.7
0.028,0.028,0.01395,0.7
0.027,0.027,0.01346,0.7
0.026,0.026,0.01296,0.7
