noise_v,q_v,qb_v,gq_v,gqb_v
0.319,0.1268,0.7,-0.1922,1.019
0.32,0.1268,0.7,-0.1932,1.02
0.321,0.1267,0.7,-0.1943,1.021
0.322,0.1267,0.7,-0.1953,1.022
0.323,0.1266,0.7,-0.1964,1.023
0.324,0.1266,0.7,-0.1974,1.024
0.325,0.1266,0.7,-0.1984,1.025
0.326,0.1265,0.7,-0.1995,1.026
0.327,0.1265,0.7,-0.2005,1.027
0.328,0.1264,0.7,-0.2016,1.028
0.329,0.1264,0.7,-0.2026,1.029
0.33,0.1263,0.7,-0.2037,1.03
0.331,0.1263,0.7,-0.2047,1.031
0.332,0.1263,0.7,-0.2057,1.032
0.333,0.1262,0.7,-0.2068,1.033
0.334,0.1262,0.7,-0.2078,1.034
0.335,0.1261,0.7,-0.2089,1.035
0.336,0.1261,0.7,-0.2099,1.036
0.337,0.126,0.7,-0.211,1.037
0.338,0.126,0.7,-0.212,1.038
0.339,0.126,0.7,-0.213,1.039
0.34,0.1259,0.7,-0.2141,1.04
0.341,0.1259,0.7,-0.2151,1.041
0.342,0.1258,0.7,-0.2162,1.042
0.343,0.1258,0.7,-0.2172,1.043
0.344,0.1258,0.7,-0.2182,1.044
0.345,0.1257,0.7,-0.2193,1.045
0.346,0.1257,0.7,-0.2203,1.046
0.347,0.1256,0.7,-0.2214,1.047
0.348,0.1256,0.7,-0.2224,1.048
0.349,0.1256,0.7,-0.2234,1.049
0.35,0.1255,0.7,-0.2245,1.05
0.351,0.1255,0.7,-0.2255,1.051
0.352,0.1254,0.7,-0.2266,1.052
0.353,0.1254,0.7,-0.2276,1.053
0.354,0.1254,0.7,-0.2286,1.054
0.355,0.1253,0.7,-0.2297,1.055
0.356,0.1253,0.7,-0.2307,1.056
0.357,0.1252,0.7,-0.2318,1.057
0.358,0.1252,0.7,-0.2328,1.058
0.359,0.1252,0.7,-0.2338,1.059
0.36,0.1251,0.7,-0.2349,1.06
0.361,0.1251,0.7,-0.2359,1.061
0.362,0.125,0.7,-0.237,1.062
0.363,0.125,0.7,-0.238,1.063
0.364,0.125,0.7,-0.239,1.064
0.365,0.1249,0.7,-0.2401,1.065
0.366,0.1249,0.7,-0.2411,1.066
0.367,0.1248,0.7,-0.2422,1.067
0.368,0.1248,0.7,-0.2432,1.068
0.369,0.1248,0.7,-0.2442,1.069
0.37,0.1247,0.7,-0.2453,1.07
0.371,0.1247,0.7,-0.2463,1.071
0.372,0.1247,0.7,-0.2473,1.072
0.373,0.1246,0.7,-0.2484,1.073
0.374,0.1246,0.7,-0.2494,1.074
0.375,0.1245,0.7,-0.2505,1.075
0.376,0.1245,0.7,-0.2515,1.076
0.377,0.1245,0.7,-0.2525,1.077
0.378,0.1244,0.7,-0.2536,1.078
0.379,0.1244,0.7,-0.2546,1.079
0.38,0.1244,0.7,-0.2556,1.08
0.381,0.1243,0.7,-0.2567,1.081
0.382,0.1243,0.7,-0.2577,1.082
0.383,0.1242,0.7,-0.2588,1.083
0.384,0.1242,0.7,-0.2598,1.084
0.385,0.1242,0.7,-0.2608,1.085
0.386,0.1241,0.7,-0.2619,1.086
0.387,0.1241,0.7,-0.2629,1.087
0.388,0.1241,0.7,-0.2639,1.088
0.389,0.124,0.7,-0.265,1.089
0.39,0.124,0.7,-0.266,1.09
0.391,0.124,0.7,-0.267,1.091
