sweep_v,bl_v,q_v,qb_v
0.202,0.202,0.09167,0.6999
0.201,0.201,0.09129,0.6999
0.2,0.2,0.09091,0.6999
0.199,0.199,0.09052,0.6999
0.198,0.198,0.09014,0.6999
0.197,0.197,0.08975,0.6999
0.196,0.196,0.08937,0.6999
0.195,0.195,0.08898,0.6999
0.194,0.194,0.08859,0.6999
0.193,0.193,0.0882,0.6999
0.192,0.192,0.08781,0.6999
0.191,0.191,0.08742,0.6999
0.19,0.19,0.08702,0.6999
0.189,0.189,0.08663,0.6999
0.188,0.188,0.08623,0.6999
0.187,0.187,0.08584,0.6999
0.186,0.186,0.08544,0.6999
0.185,0.185,0.08504,0.6999
0.184,0.184,0.08464,0.6999
0.183,0.183,0.08424,0.6999
0.182,0.182,0.08384,0.6999
0.181,0.181,0.08344,0.6999
0.18,0.18,0.08304,0.6999
0.179,0.179,0.08263,0.6999
0.178,0.178,0.08223,0.7
0.177,0.177,0.08182,0.7
0.176,0.176,0.08141,0.7
0.175,0.175,0.08101,0.7
0.174,0.174,0.0806,0.7
0.173,0.173,0.08019,0.7
0.172,0.172,0.07978,0.7
0.171,0.171,0.07937,0.7
0.17,0.17,0.07895,0.7
0.169,0.169,0.07854,0.7
0.168,0.168,0.07813,0.7
0.167,0.167,0.07771,0.7
0.166,0.166,0.0773,0.7
0.165,0.165,0.07688,0.7
0.164,0.164,0.07646,0.7
0.163,0.163,0.07604,0.7
0.162,0.162,0.07562,0.7
0.161,0.161,0.0752,0.7
0.16,0.16,0.07478,0.7
0.159,0.159,0.07436,0.7
0.158,0.158,0.07394,0.7
0.157,0.157,0.07352,0.7
0.156,0.156,0.07309,0.7
0.155,0.155,0.07267,0.7
0.154,0.154,0.07224,0.7
0.153,0.153,0.07182,0.7
0.152,0.152,0.07139,0.7
0.151,0.151,0.07096,0.7
0.15,0.15,0.07053,0.7
0.149,0.149,0.0701,0.7
0.148,0.148,0.06967,0.7
0.147,0.147,0.06924,0.7
0.146,0.146,0.06881,0.7
0.145,0.145,0.06838,0.7
0.144,0.144,0.06794,0.7
0.143,0.143,0.06751,0.7
0.142,0.142,0.06708,0.7
0.141,0.141,0.06664,0.7
0.14,0.14,0.0662,0.7
0.139,0.139,0.06577,0.7
0.138,0.138,0.06533,0.7
0.137,0.137,0.06489,0.7
0.136,0.136,0.06445,0.7
0.135,0.135,0.06401,0.7
0.134,0.134,0.06357,0.7
0.133,0.133,0.06313,0.7
0.132,0.132,0.06269,0.7
0.131,0.131,0.06225,0.7
0.13,0.13,0.06181,0.7
0.129,0.129,0.06136,0.7
0.128,0.128,0.06092,0.7
0.127,0.127,0.06047,0.7
0.126,0.126,0.06003,0.7
0.125,0.125,0.05958,0.7
0.124,0.124,0.05913,0.7
0.123,0.123,0.05869,0.7
0.122,0.122,0.05824,0.7
0.121,0.121,0.05779,0.7
0.12,0.12,0.05734,0.7
0.119,0.119,0.05689,0.7
0.118,0.118,0.05644,0.7
0.117,0.117,0.05599,0.7
0.116,0.116,0.05554,0.7
0.115,0.115,0.05509,0.7
0.114,0.114,0.05463,0.7
0.113,0.113,0.05418,0.7
0.112,0.112,0.05373,0.7
0.111,0.111,0.05327,0.7
0.11,0.11,0.05282,0.7
0.109,0.109,0.05236,0.7
0.108,0.108,0.05191,0.7
0.107,0.107,0.05145,0.7
0.106,0.106,0.05099,0.7
0.105,0.105,0.05053,0.7
0.104,0.104,0.05008,0.7
0.103,0.103,0.04962,0.7
0.102,0.102,0.04916,0.7
0.101,0.101,0.0487,0.7
0.1,0.1,0.04824,0.7
0.099,0.099,0.04778,0.7
0.098,0.098,0.04731,0.7
0.097,0.097,0.04685,0.7
0.096,0.096,0.04639,0.7
0.095,0.095,0.04593,0.7
0.094,0.094,0.04546,0.7
0.093,0.093,0.045,0.7
0.092,0.092,0.04453,0.7
0.091,0.091,0.04407,0.7
0.09,0.09,0.0436,0.7
0.089,0.089,0.04314,0.7
0.088,0.088,0.04267,0.7
0.087,0.087,0.0422,0.7
0.086,0.086,0.04173,0.7
0.085,0.085,0.04127,0.7
0.084,0.084,0.0408,0.7
0.083,0.083,0.04033,0.7
0.082,0.082,0.03986,0.7
0.081,0.081,0.03939,0.7
0.08,0.08,0.03892,0.7
0.079,0.079,0.03845,0.7
0.078,0.078,0.03798,0.7
0.077,0.077,0.03751,0.7
0.076,0.076,0.03703,0.7
0.075,0.075,0.03656,0.7
0.074,0.074,0.03609,0.7
0.073,0.073,0.03561,0.7
0.072,0.072,0.03514,0.7
