noise_v,q_v,qb_v,gq_v,gqb_v
0.247,0.7,0.1324,0.947,-0.1146
0.248,0.7,0.1324,0.948,-0.1156
0.249,0.7,0.1323,0.949,-0.1167
0.25,0.7,0.1322,0.95,-0.1178
0.251,0.7,0.1322,0.951,-0.1188
0.252,0.7,0.1321,0.952,-0.1199
0.253,0.7,0.1321,0.953,-0.1209
0.254,0.7,0.132,0.954,-0.122
0.255,0.7,0.132,0.955,-0.123
0.256,0.7,0.1319,0.956,-0.1241
0.257,0.7,0.1319,0.957,-0.1251
0.258,0.7,0.1318,0.958,-0.1262
0.259,0.7,0.1318,0.959,-0.1272
0.26,0.7,0.1317,0.96,-0.1283
0.261,0.7,0.1317,0.961,-0.1293
0.262,0.7,0.1316,0.962,-0.1304
0.263,0.7,0.1316,0.963,-0.1314
0.264,0.7,0.1315,0.964,-0.1325
0.265,0.7,0.1315,0.965,-0.1335
0.266,0.7,0.1314,0.966,-0.1346
0.267,0.7,0.1314,0.967,-0.1356
0.268,0.7,0.1313,0.968,-0.1367
0.269,0.7,0.1312,0.969,-0.1378
0.27,0.7,0.1312,0.97,-0.1388
0.271,0.7,0.1311,0.971,-0.1399
0.272,0.7,0.1311,0.972,-0.1409
0.273,0.7,0.131,0.973,-0.142
0.274,0.7,0.131,0.974,-0.143
0.275,0.7,0.1309,0.975,-0.1441
0.276,0.7,0.1309,0.976,-0.1451
0.277,0.7,0.1308,0.977,-0.1462
0.278,0.7,0.1308,0.978,-0.1472
0.279,0.7,0.1307,0.979,-0.1483
0.28,0.7,0.1307,0.98,-0.1493
0.281,0.7,0.1307,0.981,-0.1503
0.282,0.7,0.1306,0.982,-0.1514
0.283,0.7,0.1306,0.983,-0.1524
0.284,0.7,0.1305,0.984,-0.1535
0.285,0.7,0.1305,0.985,-0.1545
0.286,0.7,0.1304,0.986,-0.1556
0.287,0.7,0.1304,0.987,-0.1566
0.288,0.7,0.1303,0.988,-0.1577
0.289,0.7,0.1303,0.989,-0.1587
0.29,0.7,0.1302,0.99,-0.1598
0.291,0.7,0.1302,0.991,-0.1608
0.292,0.7,0.1301,0.992,-0.1619
0.293,0.7,0.1301,0.993,-0.1629
0.294,0.7,0.13,0.994,-0.164
0.295,0.7,0.13,0.995,-0.165
0.296,0.7,0.1299,0.996,-0.1661
0.297,0.7,0.1299,0.997,-0.1671
0.298,0.7,0.1298,0.998,-0.1682
0.299,0.7,0.1298,0.999,-0.1692
0.3,0.7,0.1298,1.0,-0.1702
0.301,0.7,0.1297,1.001,-0.1713
0.302,0.7,0.1297,1.002,-0.1723
0.303,0.7,0.1296,1.003,-0.1734
0.304,0.7,0.1296,1.004,-0.1744
0.305,0.7,0.1295,1.005,-0.1755
0.306,0.7,0.1295,1.006,-0.1765
0.307,0.7,0.1294,1.007,-0.1776
0.308,0.7,0.1294,1.008,-0.1786
0.309,0.7,0.1293,1.009,-0.1797
0.31,0.7,0.1293,1.01,-0.1807
0.311,0.7,0.1293,1.011,-0.1817
0.312,0.7,0.1292,1.012,-0.1828
0.313,0.7,0.1292,1.013,-0.1838
0.314,0.7,0.1291,1.014,-0.1849
0.315,0.7,0.1291,1.015,-0.1859
0.316,0.7,0.129,1.016,-0.187
0.317,0.7,0.129,1.017,-0.188
0.318,0.7,0.1289,1.018,-0.1891
0.319,0.7,0.1289,1.019,-0.1901
0.32,0.7,0.1289,1.02,-0.1911
0.321,0.7,0.1288,1.021,-0.1922
0.322,0.7,0.1288,1.022,-0.1932
0.323,0.7,0.1287,1.023,-0.1943
0.324,0.7,0.1287,1.024,-0.1953
0.325,0.7,0.1286,1.025,-0.1964
0.326,0.7,0.1286,1.026,-0.1974
0.327,0.7,0.1286,1.027,-0.1984
0.328,0.7,0.1285,1.028,-0.1995
0.329,0.7,0.1285,1.029,-0.2005
0.33,0.7,0.1284,1.03,-0.2016
0.331,0.7,0.1284,1.031,-0.2026
0.332,0.7,0.1283,1.032,-0.2037
0.333,0.7,0.1283,1.033,-0.2047
0.334,0.7,0.1283,1.034,-0.2057
0.335,0.7,0.1282,1.035,-0.2068
0.336,0.7,0.1282,1.036,-0.2078
0.337,0.7,0.1281,1.037,-0.2089
0.338,0.7,0.1281,1.038,-0.2099
0.339,0.7,0.1281,1.039,-0.2109
0.34,0.7,0.128,1.04,-0.212
0.341,0.7,0.128,1.041,-0.213
0.342,0.7,0.1279,1.042,-0.2141
0.343,0.7,0.1279,1.043,-0.2151
0.344,0.7,0.1279,1.044,-0.2161
0.345,0.7,0.1278,1.045,-0.2172
0.346,0.7,0.1278,1.046,-0.2182
0.347,0.7,0.1277,1.047,-0.2193
0.348,0.7,0.1277,1.048,-0.2203
0.349,0.7,0.1277,1.049,-0.2213
0.35,0.7,0.1276,1.05,-0.2224
0.351,0.7,0.1276,1.051,-0.2234
0.352,0.7,0.1275,1.052,-0.2245
0.353,0.7,0.1275,1.053,-0.2255
0.354,0.7,0.1275,1.054,-0.2265
0.355,0.7,0.1274,1.055,-0.2276
0.356,0.7,0.1274,1.056,-0.2286
0.357,0.7,0.1273,1.057,-0.2297
0.358,0.7,0.1273,1.058,-0.2307
0.359,0.7,0.1273,1.059,-0.2317
0.36,0.7,0.1272,1.06,-0.2328
0.361,0.7,0.1272,1.061,-0.2338
0.362,0.7,0.1271,1.062,-0.2349
0.363,0.7,0.1271,1.063,-0.2359
0.364,0.7,0.1271,1.064,-0.2369
0.365,0.7,0.127,1.065,-0.238
0.366,0.7,0.127,1.066,-0.239
0.367,0.7,0.127,1.067,-0.24
0.368,0.7,0.1269,1.068,-0.2411
0.369,0.7,0.1269,1.069,-0.2421
0.37,0.7,0.1268,1.07,-0.2432
0.371,0.7,0.1268,1.071,-0.2442
0.372,0.7,0.1268,1.072,-0.2452
0.373,0.7,0.1267,1.073,-0.2463
0.374,0.7,0.1267,1.074,-0.2473
0.375,0.7,0.1267,1.075,-0.2483
0.376,0.7,0.1266,1.076,-0.2494
0.377,0.7,0.1266,1.077,-0.2504
0.378,0.7,0.1265,1.078,-0.2515
0.379,0.7,0.1265,1.079,-0.2525
0.38,0.7,0.1265,1.08,-0.2535
0.381,0.7,0.1264,1.081,-0.2546
0.382,0.7,0.1264,1.082,-0.2556
0.383,0.7,0.1264,1.083,-0.2566
0.384,0.7,0.1263,1.084,-0.2577
0.385,0.7,0.1263,1.085,-0.2587
0.386,0.7,0.1263,1.086,-0.2597
0.387,0.7,0.1262,1.087,-0.2608
0.388,0.7,0.1262,1.088,-0.2618
0.389,0.7,0.1261,1.089,-0.2629
0.39,0.7,0.1261,1.09,-0.2639
0.391,0.7,0.1261,1.091,-0.2649
0.392,0.7,0.126,1.092,-0.266
0.393,0.7,0.126,1.093,-0.267
0.394,0.7,0.126,1.094,-0.268
0.395,0.7,0.1259,1.095,-0.2691
0.396,0.7,0.1259,1.096,-0.2701
0.397,0.7,0.1259,1.097,-0.2711
0.398,0.7,0.1258,1.098,-0.2722
0.399,0.7,0.1258,1.099,-0.2732
0.4,0.7,0.1258,1.1,-0.2742
0.401,0.7,0.1257,1.101,-0.2753
0.402,0.7,0.1257,1.102,-0.2763
0.403,0.7,0.1257,1.103,-0.2773
0.404,0.7,0.1256,1.104,-0.2784
0.405,0.7,0.1256,1.105,-0.2794
0.406,0.7,0.1255,1.106,-0.2805
0.407,0.7,0.1255,1.107,-0.2815
0.408,0.7,0.1255,1.108,-0.2825
0.409,0.7,0.1254,1.109,-0.2836
0.41,0.7,0.1254,1.11,-0.2846
0.411,0.7,0.1254,1.111,-0.2856
0.412,0.7,0.1253,1.112,-0.2867
0.413,0.7,0.1253,1.113,-0.2877
0.414,0.7,0.1253,1.114,-0.2887
0.415,0.7,0.1252,1.115,-0.2898
0.416,0.7,0.1252,1.116,-0.2908
0.417,0.7,0.1252,1.117,-0.2918
0.418,0.7,0.1251,1.118,-0.2929
0.419,0.7,0.1251,1.119,-0.2939
0.42,0.7,0.1251,1.12,-0.2949
0.421,0.7,0.125,1.121,-0.296
0.422,0.7,0.125,1.122,-0.297
0.423,0.7,0.125,1.123,-0.298
0.424,0.7,0.1249,1.124,-0.2991
0.425,0.7,0.1249,1.125,-0.3001
0.426,0.7,0.1249,1.126,-0.3011
0.427,0.7,0.1249,1.127,-0.3021
0.428,0.7,0.1248,1.128,-0.3032
0.429,0.7,0.1248,1.129,-0.3042
0.43,0.7,0.1248,1.13,-0.3052
0.431,0.7,0.1247,1.131,-0.3063
0.432,0.7,0.1247,1.132,-0.3073
0.433,0.7,0.1247,1.133,-0.3083
0.434,0.7,0.1246,1.134,-0.3094
0.435,0.7,0.1246,1.135,-0.3104
0.436,0.7,0.1246,1.136,-0.3114
0.437,0.7,0.1245,1.137,-0.3125
0.438,0.7,0.1245,1.138,-0.3135
0.439,0.7,0.1245,1.139,-0.3145
0.44,0.7,0.1244,1.14,-0.3156
0.441,0.7,0.1244,1.141,-0.3166
0.442,0.7,0.1244,1.142,-0.3176
0.443,0.7,0.1243,1.143,-0.3187
0.444,0.7,0.1243,1.144,-0.3197
0.445,0.7,0.1243,1.145,-0.3207
0.446,0.7,0.1242,1.146,-0.3218
0.447,0.7,0.1242,1.147,-0.3228
0.448,0.7,0.1242,1.148,-0.3238
0.449,0.7,0.1242,1.149,-0.3248
0.45,0.7,0.1241,1.15,-0.3259
0.451,0.7,0.1241,1.151,-0.3269
0.452,0.7,0.1241,1.152,-0.3279
0.453,0.7,0.124,1.153,-0.329
0.454,0.7,0.124,1.154,-0.33
0.455,0.7,0.124,1.155,-0.331
0.456,0.7,0.1239,1.156,-0.3321
0.457,0.7,0.1239,1.157,-0.3331
0.458,0.7,0.1239,1.158,-0.3341
0.459,0.7,0.1239,1.159,-0.3351
0.46,0.7,0.1238,1.16,-0.3362
0.461,0.7,0.1238,1.161,-0.3372
0.462,0.7,0.1238,1.162,-0.3382
0.463,0.7,0.1237,1.163,-0.3393
0.464,0.7,0.1237,1.164,-0.3403
0.465,0.7,0.1237,1.165,-0.3413
0.466,0.7,0.1236,1.166,-0.3424
0.467,0.7,0.1236,1.167,-0.3434
0.468,0.7,0.1236,1.168,-0.3444
0.469,0.7,0.1236,1.169,-0.3454
0.47,0.7,0.1235,1.17,-0.3465
0.471,0.7,0.1235,1.171,-0.3475
0.472,0.7,0.1235,1.172,-0.3485
0.473,0.7,0.1234,1.173,-0.3496
0.474,0.7,0.1234,1.174,-0.3506
0.475,0.7,0.1234,1.175,-0.3516
0.476,0.7,0.1234,1.176,-0.3526
0.477,0.7,0.1233,1.177,-0.3537
0.478,0.7,0.1233,1.178,-0.3547
0.479,0.7,0.1233,1.179,-0.3557
0.48,0.7,0.1232,1.18,-0.3568
0.481,0.7,0.1232,1.181,-0.3578
0.482,0.7,0.1232,1.182,-0.3588
0.483,0.7,0.1232,1.183,-0.3598
0.484,0.7,0.1231,1.184,-0.3609
0.485,0.7,0.1231,1.185,-0.3619
0.486,0.7,0.1231,1.186,-0.3629
0.487,0.7,0.123,1.187,-0.364
0.488,0.7,0.123,1.188,-0.365
0.489,0.7,0.123,1.189,-0.366
0.49,0.7,0.123,1.19,-0.367
0.491,0.7,0.1229,1.191,-0.3681
0.492,0.7,0.1229,1.192,-0.3691
0.493,0.7,0.1229,1.193,-0.3701
0.494,0.7,0.1228,1.194,-0.3712
0.495,0.7,0.1228,1.195,-0.3722
0.496,0.7,0.1228,1.196,-0.3732
0.497,0.7,0.1228,1.197,-0.3742
0.498,0.7,0.1227,1.198,-0.3753
0.499,0.7,0.1227,1.199,-0.3763
0.5,0.7,0.1227,1.2,-0.3773
