tag,round_name,u0,xl,dvtshift,delta_wgaa,delta_tgaa,eot_0,loss,log_rmse_all,log_rmse_low,log_rmse_mid,rel_rmse_high,lin_rmse,max_rel_err_high,status
fit_c037,coarse,0.03,1.2e-08,0.04,0.0,0.0,9.000000000000001e-10,0.4387492230753639,0.2926528168063742,0.501199661663336,0.2502096116724091,0.5843856250759586,6.702728517041468e-06,0.8237522992163636,ok
fit_c076,coarse,0.03,1.2e-08,0.0,0.0,0.0,1.05e-09,0.45690071644740626,0.30314818157928697,0.3814128499292965,0.3552763520600634,0.6150101394724771,7.2910080435181044e-06,0.9729955315581285,ok
fit_c025,coarse,0.015,1.2e-08,0.04,0.0,0.0,9.000000000000001e-10,0.467938093878732,0.4111110183848243,0.8014703540596624,0.35987101472445915,0.2273083019756307,3.0791534393133334e-06,0.2970371811868838,ok
fit_c017,coarse,0.03,1.2e-08,0.04,0.0,0.0,8.500000000000001e-10,0.48575212169607285,0.3341605234944043,0.5990090158279661,0.2791891280291335,0.6063663928066741,6.94411023114063e-06,0.8446463517442107,ok
fit_l180,local,0.024,1.6e-08,0.02,0.0,0.0,9.024999999999999e-10,0.48753237213398254,0.45761810783594076,0.9254784647216627,0.384955057073599,0.11965705719216715,1.2213391037794117e-06,0.23175414426069738,ok
fit_l252,local,0.02,1.6e-08,0.02,0.0,0.0,9.5e-10,0.4984105788652931,0.46517842949143223,0.9308366107671157,0.39996580652059993,0.13292859749544342,1.899400224975727e-06,0.19491609542317512,ok
fit_c074,coarse,0.025,1.2e-08,0.08,0.0,0.0,1.05e-09,0.503429174366755,0.454060761677395,0.8843099026510265,0.41292523127255737,0.19747365075743997,2.131210118862729e-06,0.29132279322025856,ok
fit_l198,local,0.016,2e-08,-0.02,0.0,-1e-09,9.5e-10,0.5112230917810192,0.4175450110901035,0.7915996910171906,0.34055047811202926,0.37471232276366306,4.867570817530121e-06,0.4388056032240049,ok
fit_c005,coarse,0.015,1.2e-08,0.04,0.0,0.0,8.500000000000001e-10,0.5135979995763064,0.45929383057447626,0.899289467533804,0.40455134285468913,0.21721667600732053,2.964891554472599e-06,0.28779346221689295,ok
fit_l280,local,0.024,2e-08,0.0,0.0,0.0,9.5e-10,0.523503554160044,0.5002915459889179,1.0133862589313392,0.4202781053476887,0.09284803268450446,1.3494573370110088e-06,0.14165466707227525,ok
fit_c070,coarse,0.02,1.2e-08,0.08,0.0,0.0,1.05e-09,0.5261486954834802,0.5069101801198701,0.9810157412998814,0.4750012192579225,0.07695406145444061,1.1917206618409191e-06,0.119388933881657,ok
fit_c078,coarse,0.03,1.2e-08,0.08,0.0,0.0,1.05e-09,0.5299488160384189,0.42260785322777433,0.805390238915279,0.37330793605600926,0.42936385124257825,4.914110262243429e-06,0.5487868332571102,ok
fit_c061,coarse,0.01,1.2e-08,0.04,0.0,0.0,1.05e-09,0.5490574945746675,0.424295824945712,0.6863227973254915,0.3832722006825865,0.49904667851582174,6.356397075258259e-06,0.5481774208044718,ok
fit_l371,local,0.024,1.2e-08,-0.02,-2e-09,-1e-09,9.975000000000001e-10,0.5757087551487212,0.5463363496023321,1.1148898402661307,0.4493930893914292,0.11748962218555635,1.2131954895314928e-06,0.23075918937841894,ok
