tag,U0,XL,DVTSHIFT,DeltaWGAA,DeltaTGAA,loss,log_rmse_vd005,log_rmse_vd070,log_rmse_all,rel_rmse_high_vd005,rel_rmse_high_vd070,max_abs_log_err,status
eval_0032,0.002326259447877186,2.7549838389387365e-09,-0.30298077726587497,3.052178387814275e-09,1.595735789393978e-09,1.9937501449852089,1.841917225473862,1.5826487260784852,1.722345978406888,0.8714078475425058,0.9379532629796333,4.823261588345961,ok
eval_0033,0.0011321268129321602,-4.118116966276361e-09,-0.539704489608192,3.535895589065713e-09,-5.832064284033328e-10,2.002945741217207,1.8233517078964685,1.6030088270055338,1.7211112276950433,0.904206562472118,0.9746901943423085,4.711984254886061,ok
eval_0034,0.009521221959880364,2.2238778611428106e-08,-0.4558494970694444,1.0464908028096586e-08,1.7993117258143628e-09,2.0527929042581183,1.9671379161043205,1.6513042273363037,1.8223817203572164,0.686764960208457,0.8493095991308904,5.213148104935132,ok
eval_0035,0.06771008870350514,2.4702120085121197e-08,-0.20091333472172135,-1.256903849551593e-08,9.3350838119858e-11,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
eval_0036,0.005858845987804056,3.193697116028704e-08,0.31118311353448314,-1.1226864861875853e-08,1.4222909208083069e-09,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
eval_0037,0.004619129206689082,3.7182737199370964e-08,0.44412741442534553,-1.042302644510264e-08,-1.4604117459274566e-09,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
eval_0038,0.03591582516517706,1.270845339304536e-10,0.44245087161692176,6.283728565844177e-09,1.1536143582527912e-09,2.5470528830166717,2.4839361648565124,2.0205563224596688,2.2733321759113685,1.606470911272426,0.21833380276292857,6.129263620744168,ok
eval_0039,0.0015132857061892087,2.7221482713168268e-08,-0.49083998644054677,6.099275248050207e-09,-5.325026548191847e-10,1.9905339960297086,1.7891949360756203,1.5958486985862654,1.699136693453191,0.9630795630269772,0.9795691208164732,4.247050788304738,ok
eval_0040,0.012192650507950757,1.1491312908644485e-08,0.7745836052519979,5.164142019917168e-09,1.9405891493663274e-10,0.5751177767903891,0.2537214124516373,0.4745232848604441,0.37624127318893946,0.5791739140124813,0.7466694433305165,0.6599013446200912,ok
eval_0041,0.0010022679031527477,1.1063995680101471e-09,0.0978838438774023,-2.666397487107989e-09,4.859884875040797e-10,1.8873224431750155,1.4908445092704117,1.706419220051042,1.5979539945242207,0.9558425746936838,0.9732804163116139,2.768858503931421,ok
eval_0042,0.0012558704365617096,3.264129130210278e-08,-0.09344079896068767,-7.73655516672919e-09,2.861077476394729e-10,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
eval_0043,0.0003417986910284458,-3.7002770986462965e-09,-0.6395805490127972,1.3789483144246067e-08,1.6720115846955963e-09,2.1660778221476953,1.8033972979398514,1.9443285321008563,1.872368605523127,0.961749757167139,0.9963116869966496,4.31516645182369,ok
eval_0044,0.13314341695136064,3.357496530157418e-08,-0.5805714770302149,1.0908024084810317e-08,-1.0461753130222586e-09,2.754202159376855,2.547774323856739,2.0665569307060228,2.3292307111416575,2.2842958483736,0.5488471398610492,6.213148121372989,ok
eval_0045,0.05888304905357422,2.8019531219569692e-08,0.4055294841250772,6.1323566689189345e-09,-3.565315555744251e-10,0.4757158677724367,0.3309889907817411,0.40142717179775184,0.36649275830956346,0.3206690506866047,0.407485012399217,1.1136238594129608,ok
eval_0046,0.39505551601064814,1.273965091505449e-09,0.43494753604080255,7.258946060710551e-09,-7.139633586618271e-10,7.2866605500068165,3.253158471638777,2.484440415305847,2.9096312526998873,24.734170211090014,4.446025104289515,7.125106117871985,ok
eval_0047,0.8135795871900021,3.866952002238643e-08,-0.017486267185547622,-2.2827782210883685e-09,1.1561448844195345e-10,1.924472759472226,0.913769149675941,0.4347296119974896,0.7245009535470124,7.78155590599787,0.21825613350355452,1.2065867252117028,ok
eval_0048,0.5059431679587566,3.352484622060723e-08,0.22736972557303475,-7.336433584511211e-10,-1.388588587075888e-09,2.3797057771425694,1.7300862122758347,1.613364716858935,1.6750752393854313,4.488944096733,0.20859282164791962,3.6562126523021874,ok
eval_0049,0.0001140803288283166,3.58468200488726e-08,-0.6795358781819225,1.0878665561101954e-08,-4.902688587409419e-10,2.5147660625367,2.19694641036248,2.2351417297646434,2.215362349735889,0.9973384723768556,0.9986862796285516,3.1353997466862626,ok
eval_0050,0.007310442708474096,2.3598591805510843e-08,0.5971300782364505,1.3434951834460884e-08,1.3124156477763036e-09,1.9433860805747711,1.8725116637020738,1.4941900446936078,1.7014481570126294,0.7593877460283132,0.8535317443859649,4.944214946420492,ok
eval_0051,0.028854801142050912,2.215894802457989e-09,0.1101214126895238,-1.2440767552607498e-08,1.1372310578476338e-09,295.0884619426846,294.20311419116274,295.42127986518716,294.78846194268465,1.0,1.0,296.77882709744586,ok
eval_0052,0.002326259447877186,5.162032628243939e-09,0.4569317945277632,3.052178387814275e-09,6.571396246704664e-11,1.7050682697851383,1.5770714956171406,1.2531134697150699,1.4307554500405888,0.8950582752171427,0.9336938564131883,3.8310288034309306,ok
eval_0053,0.0006038434810623392,3.081523847311788e-08,-0.539704489608192,3.535895589065713e-09,2.435578922653545e-10,2.106003215640719,1.8705042144110293,1.7400252372262532,1.8090491659863073,0.9871543311142096,0.9925393332485349,3.7424906157563997,ok
