tag,U0,XL,DVTSHIFT,DeltaWGAA,DeltaTGAA,loss,log_rmse_vd005,log_rmse_vd070,log_rmse_all,rel_rmse_high_vd005,rel_rmse_high_vd070,max_abs_log_err,status
eval_0042,0.1966994580719109,2.482404434437526e-08,0.6829949088346915,7.016041293567001e-09,4.998405648887996e-10,4.673903580184305,4.7913459298618175,3.744727005797048,4.357329718605701,1.5997499212700377,0.5107424892539861,6.775536283266934,ok
eval_0043,0.7541411366359613,2.681239931515234e-08,-0.4589097715814758,2.1930299731193575e-09,1.2613129846802004e-09,5.237316716389464,2.860974566211218,2.133114627001803,2.5631271999964227,15.654143336711138,2.173786772575805,5.454239063327931,ok
eval_0044,0.002177501776894655,2.893782085793452e-08,-0.5547939648754244,1.7001880928087229e-09,1.262772248383093e-10,1.856475768240243,1.6197773020767907,1.5089286061214706,1.5714768246992867,0.9499380876685846,0.9500548692711243,3.4133008595919705,ok
eval_0045,0.0012541970704837957,2.0797966584577904e-08,0.32120446836766237,-4.1955098221530136e-09,1.5926209921624032e-09,119.3873350065233,130.43308022567214,103.1697574701347,119.08910646680997,0.9925102670596795,0.9956799976958591,291.82695165112466,ok
eval_0046,0.011976369974896784,2.3286076205111012e-08,0.023030913222928363,-2.058800622784262e-09,-1.880151673376548e-09,2.8022024847395355,2.690579259302367,2.379125762231459,2.556843568912308,0.7969732534655227,0.8387528520493281,4.853895263039403,ok
eval_0047,0.0031773471259605723,-4.217288171796945e-10,-0.1798952725841068,-3.616736423521167e-09,1.358442683838186e-09,1.341503093223542,1.0013512928598587,1.1860850834010324,1.0873368771057257,0.8383992504996646,0.8560421902857782,2.5479874620295657,ok
eval_0048,0.09838955813834924,5.285106459395728e-09,-0.48433306264349946,2.3034841440060306e-09,-1.0085622995606918e-09,3.3526574280367623,2.7322480749196623,2.3000012322242944,2.54920293397856,3.8629680133619835,1.493395280359366,5.801806898858575,ok
eval_0049,0.00042969413683284654,9.870913397003833e-09,0.6938958758029197,-2.7954489973612256e-09,1.952352660838576e-09,146.40879175747787,160.00374831335645,126.61459431712376,146.10917506667514,0.998301976606729,0.9991426287449482,293.02387884563984,ok
eval_0050,0.022966224166002386,-2.3739367930248747e-09,0.6432357832625795,-2.686729055312595e-09,-2.7371906379443356e-10,49.13540473930052,7.7002267068940355,72.86063585699983,48.91166242050066,0.6842401438336303,0.8073753148321084,290.66757323699136,ok
eval_0051,0.012419346593419396,2.061643191129865e-08,0.056109158973807284,-1.590824010111117e-09,-1.5015470025436134e-09,2.8740861854225996,2.7871653374754763,2.4324407944376203,2.6354111204874706,0.7705291529102816,0.8206379466572434,4.969995472421834,ok
eval_0052,0.20034234915147534,-2.6804928659831583e-09,-0.5979492581881936,1.3123325972803237e-08,1.9016375339359123e-09,9.246787118342409,3.4366239921670307,3.083353098095716,3.284309290277639,26.60564380405887,13.144208383039595,7.089366999055374,ok
eval_0053,0.0002548420031485213,3.6068853465797625e-08,0.6443151868837482,1.4914113373225696e-08,-1.468494107828636e-09,4.011927211486643,3.798876992929686,3.6024933237087975,3.71287795871071,0.9962043351093165,0.9974573500635728,4.89333149856897,ok
eval_0054,0.15916765612162437,2.219485019725424e-09,0.6613068895794602,4.1853253578073734e-10,5.647961240476462e-10,4.245244877612065,4.1065580086138045,3.2190501372335842,3.738214495579483,3.029631443857657,0.35057110302621997,6.0642809920880385,ok
eval_0055,0.06914109615867857,-2.869334141416669e-09,0.6748848920007667,-1.591325198756287e-09,1.0520792763327883e-09,4.859880684975073,5.056326048256401,3.8454453817153142,4.55804497889176,1.5275742800402812,0.4846637605151352,7.451448580004342,ok
